,period,state,stateDescription,electric-utilities,independent-power-producers,combined-heat-and-pwr-elect,elect-pwr-sector-gen-subtotal,combined-heat-and-pwr-comm,combined-heat-and-pwr-indust,indust-and-comm-gen-subtotal,total-net-generation,total-international-imports,total-supply,full-service-providers,energy-only-providers,facility-direct,total-elect-indust,direct-use,total-international-exports,estimated-losses,net-interstate-trade,unaccounted,total-disposition,net-trade-index,electric-utilities-units,independent-power-producers-units,combined-heat-and-pwr-elect-units,elect-pwr-sector-gen-subtotal-units,combined-heat-and-pwr-comm-units,combined-heat-and-pwr-indust-units,indust-and-comm-gen-subtotal-units,total-net-generation-units,total-international-imports-units,total-supply-units,full-service-providers-units,energy-only-providers-units,facility-direct-units,total-elect-indust-units,direct-use-units,total-international-exports-units,estimated-losses-units,net-interstate-trade-units,unaccounted-units,total-disposition-units,net-trade-index-units
1113,2006,OR,Oregon,43068822,4054891,4831305,51955018,3966,1381711,1385677,53340695,456148.0,53796843,46962026,1107239,0.0,48069265,1418985.0,470073.0,3116757,-159486,2298815,53796843,1.0,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1114,1999,OR,Oregon,51698318,582535,3915583,56196436,6303,645608,651911,56848346,477320.0,57325666,46996366,547341,0.0,47543707,670217.0,167483.0,3729905,3702055,49678010,57325666,1.07,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1115,1993,OR,Oregon,40743085,426802,326465,41496352,66408,346824,413233,41909585,1081483.0,42991068,44577902,0,0.0,44577902,384707.0,0.0,3567732,-7233331,46611704,42991068,0.86,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1116,2000,OR,Oregon,46059938,495690,4464196,51019824,5882,764268,770150,51789974,180363.0,51970337,50330414,0,0.0,50330414,768640.0,27013.0,3914864,-4483116,52460478,51970337,0.92,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1117,1995,OR,Oregon,44031261,429217,275861,44736339,1014,528200,529214,45265553,827764.0,46093317,45725307,0,0.0,45725307,543945.0,0.0,3489995,-5376212,47933265,46093317,0.9,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1118,2008,OR,Oregon,44590530,5800971,6952104,57343605,26466,1348367,1374832,58718438,596545.0,59314983,46658795,2518124,10558.0,49187477,1459427.0,272439.0,3133266,4620019,642354,59314983,1.08,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1119,1994,OR,Oregon,37490089,399364,275838,38165291,0,275522,275522,38440813,1066362.0,39507175,44970742,0,0.0,44970742,290105.0,0.0,3416262,-10929832,46975484,39507175,0.78,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1120,1996,OR,Oregon,47883913,457118,2031852,50372883,4746,634143,638889,51011773,2773722.0,53785495,47184912,1224598,0.0,48409510,671969.0,0.0,3757628,-591722,50570507,53785495,0.99,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1121,1990,OR,Oregon,49171999,369817,250427,49792242,63340,516654,579994,50372237,852459.0,51224696,42977443,0,0.0,42977443,505414.0,0.0,3262881,3077931,44840400,51224696,1.06,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1122,1998,OR,Oregon,46352310,510311,3686437,50549058,5135,594290,599426,51148484,704403.0,51852887,45082707,1823954,0.0,46906661,627227.0,113109.0,3335425,-653056,49009875,51852887,0.99,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1123,2015,OR,Oregon,41305761,10683030,5124703,57113494,77670,675371,753041,57866535,2369684.0,60236219,45369896,1894078,,47263974,627291.0,282239.0,2357217,8982333,723164,60236219,1.18,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1124,2002,OR,Oregon,39731986,717656,5842112,46291754,5804,801810,807614,47099368,1477034.0,48576402,45255173,0,0.0,45255173,682012.0,8671.0,3394574,-1805454,1722757,48576402,0.96,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1125,2020,OR,Oregon,44678566,13217784,5091608,62987958,80086,556738,636824,63624782,0.0,63624782,48234702,2778443,6168.0,51019313,492135.0,0.0,2841483,9386183,-114332,63624782,1.17,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1126,2005,OR,Oregon,37407039,4492799,5946919,47846757,5098,1473147,1478246,49325003,521488.0,49846491,44864641,1554604,0.0,46419245,1266286.0,445386.0,3102465,-2336153,2214282,49846491,0.96,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1127,2016,OR,Oregon,45096169,10030352,4406200,59532721,70436,578855,649292,60182013,956379.0,61138392,45335947,2012115,1288.0,47349350,523107.0,128991.0,2471214,10168298,497432,61138392,1.2,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1128,2001,OR,Oregon,38059649,466985,5674672,44201306,13301,837303,850604,45051910,150777.0,45202687,45884830,0,0.0,45884830,667502.0,11171.0,3588353,-5589859,1307524,45202687,0.89,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1129,2013,OR,Oregon,43254167,10562552,5385568,59202287,98414,594813,693228,59895515,375509.0,60271024,45610192,1972418,58368.0,47640978,589349.0,316652.0,2559256,8446112,718677,60271024,1.16,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1130,1997,OR,Oregon,49068279,511235,2166348,51745862,6959,660034,666992,52412854,772502.0,53185356,47602798,949493,0.0,48552291,683815.0,0.0,3660694,-1231575,50707001,53185356,0.98,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1131,2014,OR,Oregon,44565239,10213307,4541093,59319639,97158,703110,800268,60119907,361403.0,60481310,45493070,1841883,,47334953,684481.0,206281.0,2464728,9178311,612556,60481310,1.18,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1132,2003,OR,Oregon,38577937,4002974,5358132,47939043,8875,1018221,1027096,48966139,284379.0,49250518,45194730,0,0.0,45194730,690673.0,6145.0,3318564,-1075634,1806022,49250518,0.98,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1133,2012,OR,Oregon,47144491,8591225,4510781,60246497,72787,613446,686233,60932730,921763.0,61854493,45097314,1591542,,46688856,633264.0,455353.0,2528386,10750238,798396,61854493,1.21,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1134,2007,OR,Oregon,43202516,4268893,6181357,53652765,17160,1407868,1425028,55077794,1441177.0,56518971,46428423,2268542,0.0,48696965,1328967.0,207157.0,3082151,2427616,776114,56518971,1.04,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1135,2011,OR,Oregon,48984868,5827218,4361189,59173274,62648,459242,521890,59695164,705598.0,60400762,45759936,1411510,,47171446,522723.0,422084.0,2914895,9070780,298834,60400762,1.18,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1136,2018,OR,Oregon,47020281,11286428,5123590,63430299,73926,609335,683261,64113560,544195.0,64657755,46725458,2594118,6328.0,49325904,503543.0,109987.0,2544114,11903191,271016,64657755,1.23,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1137,2017,OR,Oregon,48764549,9251618,4014341,62030509,72224,611015,683239,62713747,1129572.0,63843319,47535844,2485107,22865.0,50043816,493220.0,104848.0,2722305,10146197,332933,63843319,1.19,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1138,2004,OR,Oregon,39092958,4800813,5891122,49784893,5777,1590608,1596385,51381278,2522683.0,53903961,44791028,845420,0.0,45636448,691393.0,77434.0,3344056,2591680,2253651,53903961,1.05,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1139,2010,OR,Oregon,41142684,6952755,6420563,54516002,20963,590034,610997,55126999,434687.0,55561686,44525865,1500080,0.0,46025945,530183.0,215906.0,2843380,5542405,403867,55561686,1.11,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1140,1990,PA,Pennsylvania,165682846,784435,4586829,171054110,228616,4340586,4569202,175623313,0.0,175623313,114750659,0,0.0,114750659,3739464.0,0.0,8711961,47068059,119724803,175623313,1.37,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1141,2015,PA,Pennsylvania,67115,202294858,9001364,211363338,392125,2816828,3208954,214572291,566656.0,215138947,48033853,98299562,10613.0,146344028,4327783.0,30907.0,7298680,54898407,2239142,215138947,1.34,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1142,1995,PA,Pennsylvania,168941707,4161174,7128726,180231606,384696,4835008,5219704,185451311,22625.0,185473936,126250597,0,0.0,126250597,4978952.0,6900.0,9636107,43352789,132346910,185473936,1.31,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1143,1993,PA,Pennsylvania,166200686,2839062,6691738,175731486,388878,5093770,5482648,181214134,0.0,181214134,119981494,0,0.0,119981494,4616387.0,0.0,9602557,46031503,125455476,181214134,1.34,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1144,1999,PA,Pennsylvania,161595988,21629679,7107445,190333112,430820,3764115,4194934,194528046,13350.0,194541396,96023410,32859903,0.0,128883313,4288063.0,29760.0,10111170,49598244,134669051,194541396,1.34,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1145,1991,PA,Pennsylvania,162366875,1157855,4726397,168251128,208107,4303475,4511581,172762709,0.0,172762709,116336998,0,0.0,116336998,3692195.0,0.0,8932913,42458225,121251541,172762709,1.33,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1146,1992,PA,Pennsylvania,166034292,1891988,6302005,174228284,400567,4776794,5177360,179405645,0.0,179405645,116287618,0,0.0,116287618,4364273.0,0.0,9192976,48542382,121549635,179405645,1.37,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1147,2018,PA,Pennsylvania,150619,203742395,8391946,212284960,373025,2727845,3100870,215385830,56343.0,215442173,49808523,99153941,14267.0,148976731,5388503.0,12341.0,7683870,52562189,818538,215442173,1.32,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1148,2003,PA,Pennsylvania,30099444,165678345,6773553,202551341,398926,3399246,3798172,206349513,17906.0,206367419,127963731,12405397,0.0,140369128,4478416.0,102811.0,10307042,49974683,5609277,206367419,1.32,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1149,2001,PA,Pennsylvania,27633966,158605309,6170755,192410029,404690,3761875,4166564,196576594,0.0,196576594,115912666,19339373,0.0,135252039,4328175.0,0.0,10577178,46888935,3854113,196576594,1.31,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1150,1996,PA,Pennsylvania,175022081,5190585,7300615,187513281,394927,3964417,4359344,191872625,207183.0,192079808,127623026,0,0.0,127623026,4732596.0,7850.0,9906315,48713174,133320113,192079808,1.34,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1151,2000,PA,Pennsylvania,97075771,93923887,6557648,197557306,427992,3702682,4130674,201687980,0.0,201687980,98141900,35703426,0.0,133845326,4664603.0,0.0,10410927,51628652,139509891,201687980,1.34,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1152,2002,PA,Pennsylvania,30537243,164018319,5718126,200273688,443223,3605967,4049190,204322878,380.0,204323258,128687762,11132108,0.0,139819870,4422262.0,96160.0,10487836,48592359,5322611,204323258,1.31,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1153,2004,PA,Pennsylvania,33900004,170336439,6675843,210912286,414081,3332133,3746215,214658501,86274.0,214744775,130848050,12653443,0.0,143501493,4483086.0,262799.0,10515215,53374292,7086493,214744775,1.33,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1154,1997,PA,Pennsylvania,177166516,4741755,7238719,189146990,411496,3904709,4316205,193463196,113818.0,193577014,127875288,201126,0.0,128076414,4490246.0,500.0,9656570,50027029,133760348,193577014,1.35,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1155,1998,PA,Pennsylvania,173903236,5231415,7732456,186867107,433431,3890981,4324413,191191520,10965.0,191202485,126258034,3948377,0.0,130206411,4444106.0,174823.0,9258678,45589687,136044645,191202485,1.31,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1156,2007,PA,Pennsylvania,1077389,212667687,9033246,222778322,384695,2925323,3310018,226088340,157589.0,226245929,140610065,10962885,0.0,151572950,2324383.0,95607.0,9593427,60243848,2415714,226245929,1.36,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1157,2008,PA,Pennsylvania,1224597,209081197,8978185,219283979,245635,2821311,3066946,222350925,888943.0,223239868,139119036,11281553,0.0,150400589,4460442.0,356263.0,9580591,56477855,1964127,223239868,1.34,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1158,2005,PA,Pennsylvania,1058313,205815687,7628602,214502602,407557,3180966,3588524,218091125,30410.0,218121535,137220957,11051983,0.0,148272940,3287425.0,316538.0,9909931,52545952,7072886,218121535,1.32,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1159,2006,PA,Pennsylvania,1311434,205075244,8853567,215240245,399631,3171719,3571350,218811595,31796.0,218843391,137244377,8905981,0.0,146150358,2872473.0,126611.0,9476224,56097982,6989344,218843391,1.34,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1160,2010,PA,Pennsylvania,1086500,213653232,12168048,226907780,256091,2588434,2844526,229752306,768676.0,230520982,114787417,34176551,,148963968,2783710.0,347966.0,9202661,67915553,1307124,230520982,1.42,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1161,2009,PA,Pennsylvania,1159659,205083196,10277785,216520640,239448,2736055,2975504,219496144,616423.0,220112567,132726219,11021219,,143747438,2857324.0,445954.0,9150592,62615453,1295806,220112567,1.4,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1162,2017,PA,Pennsylvania,102565,200493476,9815315,210411356,392063,2835880,3227943,213639299,33402.0,213672701,45472076,97503675,15145.0,142990896,5341515.0,1047.0,7778480,56609468,951295,213672701,1.36,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1163,2011,PA,Pennsylvania,1760067,211465839,11200087,224425993,276699,2612030,2888729,227314722,666640.0,227981362,65055790,83581670,119778.0,148757238,2873888.0,231396.0,9192250,65984204,942386,227981362,1.41,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1164,2012,PA,Pennsylvania,1037609,208732320,11044872,220814801,361657,2243258,2604915,223419715,1360342.0,224780057,50475950,94111543,122234.0,144709727,3698506.0,20874.0,7836605,66039758,2474588,224780057,1.42,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1165,2014,PA,Pennsylvania,90994,208057394,9451338,217599726,417386,3041254,3458639,221058365,577901.0,221636266,46484296,100192943,10459.0,146687698,4854464.0,23640.0,7638019,60534177,1898268,221636266,1.38,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1166,2013,PA,Pennsylvania,1105740,212505920,9942781,223554442,354967,2876222,3231189,226785630,1141975.0,227927605,47573806,98649283,30674.0,146253763,4847618.0,33312.0,7856699,66729936,2206277,227927605,1.41,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1167,2016,PA,Pennsylvania,79998,202500105,9362626,211942729,262881,2860899,3123780,215066509,314066.0,215380575,46927424,98386172,14087.0,145327683,5204017.0,4943.0,7584809,55732372,1526751,215380575,1.35,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1168,2020,PA,Pennsylvania,91389,219235509,7866814,227193712,368692,2580875,2949567,230143279,0.0,230143279,51023267,88653782,43788.0,139720837,5141430.0,0.0,7781649,77812471,-313108,230143279,1.51,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1169,1994,PA,Pennsylvania,169029050,3330908,6588009,178947967,380927,4749808,5130734,184078701,141341.0,184220042,123045049,0,0.0,123045049,4885098.0,0.0,9347281,46214573,128530257,184220042,1.33,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1170,1990,RI,Rhode Island,591756,50168,422234,1064158,43158,0,43158,1107316,36686.0,1144002,6418978,0,0.0,6418978,52582.0,0.0,487334,-6047030,6697226,1144002,0.16,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1171,2015,RI,Rhode Island,11539,6854141,0,6865680,73339,0,73339,6939019,162651.0,7101670,4560273,3104445,,7664718,35320.0,0.0,382266,-1097908,117274,7101670,0.87,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1172,1995,RI,Rhode Island,653076,3309521,447324,4409921,56799,21492,78291,4488212,1276159.0,5764371,6635677,0,0.0,6635677,94414.0,0.0,506470,-1704929,6956100,5764371,0.77,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
